Time (s),GenPwr
58.5000,5.749E+02
58.6000,5.751E+02
58.7000,5.751E+02
58.8000,5.751E+02
58.9000,5.751E+02
59.0000,5.750E+02
59.1000,5.748E+02
59.2000,5.746E+02
59.3000,5.744E+02
59.4000,5.741E+02
59.5000,5.740E+02
59.6000,5.740E+02
59.7000,5.742E+02
59.8000,5.746E+02
59.9000,5.752E+02
60.0000,5.759E+02
60.1000,5.770E+02
60.2000,5.783E+02
60.3000,5.797E+02
60.4000,5.812E+02
60.5000,5.826E+02
60.6000,5.839E+02
60.7000,5.853E+02
60.8000,5.865E+02
60.9000,5.874E+02
61.0000,5.881E+02
61.1000,5.887E+02
61.2000,5.893E+02
61.3000,5.896E+02
61.4000,5.897E+02
61.5000,5.894E+02
61.6000,5.889E+02
61.7000,5.883E+02
61.8000,5.878E+02
61.9000,5.875E+02
62.0000,5.874E+02
62.1000,5.873E+02
62.2000,5.874E+02
62.3000,5.876E+02
62.4000,5.879E+02
62.5000,5.882E+02
62.6000,5.886E+02
62.7000,5.891E+02
62.8000,5.897E+02
62.9000,5.903E+02
63.0000,5.909E+02
63.1000,5.914E+02
63.2000,5.919E+02
63.3000,5.927E+02
63.4000,5.936E+02
63.5000,5.947E+02
63.6000,5.959E+02
63.7000,5.971E+02
63.8000,5.982E+02
63.9000,5.992E+02
64.0000,6.000E+02
64.1000,6.006E+02
64.2000,6.008E+02
64.3000,6.008E+02
64.4000,6.006E+02
64.5000,6.004E+02
64.6000,5.999E+02
64.7000,5.992E+02
64.8000,5.986E+02
64.9000,5.981E+02
65.0000,5.975E+02
65.1000,5.970E+02
65.2000,5.965E+02
65.3000,5.962E+02
65.4000,5.962E+02
65.5000,5.963E+02
65.6000,5.963E+02
65.7000,5.962E+02
65.8000,5.959E+02
65.9000,5.956E+02
66.0000,5.953E+02
66.1000,5.953E+02
66.2000,5.953E+02
66.3000,5.952E+02
66.4000,5.952E+02
66.5000,5.953E+02
66.6000,5.953E+02
66.7000,5.952E+02
66.8000,5.949E+02
66.9000,5.946E+02
67.0000,5.945E+02
67.1000,5.945E+02
67.2000,5.946E+02
67.3000,5.947E+02
67.4000,5.946E+02
67.5000,5.944E+02
67.6000,5.942E+02
67.7000,5.939E+02
67.8000,5.936E+02
67.9000,5.933E+02
68.0000,5.930E+02
68.1000,5.926E+02
68.2000,5.920E+02
68.3000,5.914E+02
68.4000,5.910E+02
68.5000,5.908E+02
68.6000,5.905E+02
68.7000,5.899E+02
68.8000,5.891E+02
68.9000,5.884E+02
69.0000,5.880E+02
69.1000,5.880E+02
69.2000,5.881E+02
69.3000,5.881E+02
69.4000,5.881E+02
69.5000,5.882E+02
69.6000,5.881E+02
69.7000,5.880E+02
69.8000,5.875E+02
69.9000,5.868E+02
70.0000,5.860E+02
70.1000,5.852E+02
70.2000,5.845E+02
70.3000,5.842E+02
70.4000,5.839E+02
70.5000,5.838E+02
70.6000,5.835E+02
70.7000,5.832E+02
70.8000,5.832E+02
70.9000,5.831E+02
71.0000,5.830E+02
71.1000,5.828E+02
71.2000,5.827E+02
71.3000,5.827E+02
71.4000,5.827E+02
71.5000,5.828E+02
71.6000,5.827E+02
71.7000,5.825E+02
71.8000,5.822E+02
71.9000,5.816E+02
72.0000,5.812E+02
72.1000,5.808E+02
72.2000,5.805E+02
72.3000,5.802E+02
72.4000,5.798E+02
72.5000,5.792E+02
72.6000,5.787E+02
72.7000,5.784E+02
72.8000,5.781E+02
72.9000,5.778E+02
73.0000,5.774E+02
73.1000,5.771E+02
73.2000,5.768E+02
73.3000,5.765E+02
73.4000,5.763E+02
73.5000,5.761E+02
73.6000,5.763E+02
73.7000,5.769E+02
73.8000,5.776E+02
73.9000,5.782E+02
74.0000,5.787E+02
74.1000,5.794E+02
74.2000,5.802E+02
74.3000,5.812E+02
74.4000,5.821E+02
74.5000,5.828E+02
74.6000,5.835E+02
74.7000,5.840E+02
74.8000,5.843E+02
74.9000,5.844E+02
75.0000,5.845E+02
75.1000,5.846E+02
75.2000,5.845E+02
75.3000,5.845E+02
75.4000,5.845E+02
75.5000,5.846E+02
75.6000,5.847E+02
75.7000,5.849E+02
75.8000,5.851E+02
75.9000,5.852E+02
76.0000,5.856E+02
76.1000,5.861E+02
76.2000,5.864E+02
76.3000,5.866E+02
76.4000,5.870E+02
76.5000,5.877E+02
76.6000,5.884E+02
76.7000,5.892E+02
76.8000,5.903E+02
76.9000,5.918E+02
77.0000,5.933E+02
77.1000,5.947E+02
77.2000,5.959E+02
77.3000,5.973E+02
77.4000,5.991E+02
77.5000,6.010E+02
77.6000,6.028E+02
77.7000,6.042E+02
77.8000,6.049E+02
77.9000,6.051E+02
78.0000,6.052E+02
78.1000,6.053E+02
78.2000,6.055E+02
78.3000,6.058E+02
78.4000,6.063E+02
78.5000,6.069E+02
78.6000,6.076E+02
78.7000,6.083E+02
78.8000,6.089E+02
78.9000,6.093E+02
79.0000,6.097E+02
79.1000,6.103E+02
79.2000,6.110E+02
79.3000,6.119E+02
79.4000,6.130E+02
79.5000,6.144E+02
79.6000,6.161E+02
79.7000,6.182E+02
79.8000,6.206E+02
79.9000,6.230E+02
80.0000,6.251E+02
80.1000,6.271E+02
80.2000,6.290E+02
80.3000,6.308E+02
80.4000,6.326E+02
80.5000,6.341E+02
80.6000,6.354E+02
80.7000,6.363E+02
80.8000,6.370E+02
80.9000,6.374E+02
81.0000,6.378E+02
81.1000,6.382E+02
81.2000,6.388E+02
81.3000,6.396E+02
81.4000,6.404E+02
81.5000,6.412E+02
81.6000,6.419E+02
81.7000,6.424E+02
81.8000,6.429E+02
81.9000,6.433E+02
82.0000,6.441E+02
82.1000,6.456E+02
82.2000,6.475E+02
82.3000,6.496E+02
82.4000,6.517E+02
82.5000,6.538E+02
82.6000,6.557E+02
82.7000,6.573E+02
82.8000,6.590E+02
82.9000,6.609E+02
83.0000,6.627E+02
83.1000,6.647E+02
83.2000,6.669E+02
83.3000,6.692E+02
83.4000,6.714E+02
83.5000,6.733E+02
83.6000,6.747E+02
83.7000,6.761E+02
83.8000,6.774E+02
